KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K20950	vpsQ	polysaccharide biosynthesis protein VpsQ			map05111	Biofilm formation - Vibrio cholerae
K20956	cdgA	diguanylate cyclase			map05111	Biofilm formation - Vibrio cholerae
K20962	cdgC	c-di-GMP phosphodiesterase			map05111	Biofilm formation - Vibrio cholerae
K20964	cdpA	c-di-GMP phosphodiesterase			map05111	Biofilm formation - Vibrio cholerae
K20968	exsA	AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA			map02025	Biofilm formation - Pseudomonas aeruginosa
K20971	ladS	two-component system, sensor histidine kinase LadS			map02025	Biofilm formation - Pseudomonas aeruginosa
K20974	K20974	two-component system, sensor histidine kinase			map02020; map02025	Two-component system; Biofilm formation - Pseudomonas aeruginosa
K20975	K20975	two-component system, sensor histidine kinase			map02020; map02025	Two-component system; Biofilm formation - Pseudomonas aeruginosa
K20976	hptB	histidine phosphotransfer protein HptB			map02020; map02025	Two-component system; Biofilm formation - Pseudomonas aeruginosa
K20977	hsbR	two-component system, HptB-dependent secretion and biofilm response regulator			map02020; map02025	Two-component system; Biofilm formation - Pseudomonas aeruginosa
K20978	hsbA	HptB-dependent secretion and biofilm anti anti-sigma factor			map02020; map02025	Two-component system; Biofilm formation - Pseudomonas aeruginosa
K20979	GES	geranyl diphosphate diphosphatase			map00902; map01100; map01110	Monoterpenoid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K20980	LOVA, CYP68R1	dihydromonacolin L/monacolin L hydroxylase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20981	LOVB	lovastatin nonaketide synthase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20982	LOVC	lovastatin enoyl reductase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20983	LOVD	monacolin J acid methylbutanoate transferase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20984	LOVF	2-methylbutanoate polyketide synthase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20985	LOVG	dihydromonacolin L-[lovastatin nonaketide synthase] thioesterase	M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	map00999; map01100; map01110	Biosynthesis of various secondary metabolites - part 1; Metabolic pathways; Biosynthesis of secondary metabolites
K20987	pslD	polysaccharide biosynthesis/export protein PslD			map02025	Biofilm formation - Pseudomonas aeruginosa
K20988	vpsN	polysaccharide biosynthesis/export protein VpsN			map05111	Biofilm formation - Vibrio cholerae
K20989	DUR3	urea-proton symporter				
K20991	RPE65b	all-trans-retinyl ester 13-cis isomerohydrolase				
K20992	pytH	pyrethroid hydrolase				
K20997	pslA	polysaccharide biosynthesis protein PslA			map02025	Biofilm formation - Pseudomonas aeruginosa
K20998	pslE	polysaccharide biosynthesis protein PslE			map02025	Biofilm formation - Pseudomonas aeruginosa
K20999	pslF	polysaccharide biosynthesis protein PslF			map02025	Biofilm formation - Pseudomonas aeruginosa
K21000	pslG	polysaccharide biosynthesis protein PslG			map02025	Biofilm formation - Pseudomonas aeruginosa
K21001	pslH	polysaccharide biosynthesis protein PslH			map02025	Biofilm formation - Pseudomonas aeruginosa
K21003	pslJ	polysaccharide biosynthesis protein PslJ			map02025	Biofilm formation - Pseudomonas aeruginosa
K21005	pslL	polysaccharide biosynthesis protein PslL			map02025	Biofilm formation - Pseudomonas aeruginosa
K21006	pelA	polysaccharide biosynthesis protein PelA			map02025	Biofilm formation - Pseudomonas aeruginosa
K21007	pelB	polysaccharide biosynthesis protein PelB			map02025	Biofilm formation - Pseudomonas aeruginosa
K21008	pelC	polysaccharide biosynthesis protein PelC			map02025	Biofilm formation - Pseudomonas aeruginosa
K21009	pelD	polysaccharide biosynthesis protein PelD			map02025	Biofilm formation - Pseudomonas aeruginosa
K21010	pelE	polysaccharide biosynthesis protein PelE			map02025	Biofilm formation - Pseudomonas aeruginosa
K21011	pelF	polysaccharide biosynthesis protein PelF			map02025	Biofilm formation - Pseudomonas aeruginosa
K21012	pelG	polysaccharide biosynthesis protein PelG			map02025	Biofilm formation - Pseudomonas aeruginosa
K21014	stf0	trehalose 2-sulfotransferase				
K21015	staL	desulfo-A47934 sulfotransferase				
K21017	cocE	cocaine esterase				
K21018	fumD	fumonisin B1 esterase				
K21019	sadC	diguanylate cyclase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21020	siaD	diguanylate cyclase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21021	tpbB	diguanylate cyclase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21022	roeA	diguanylate cyclase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21023	mucR	diguanylate cyclase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21024	bifA	c-di-GMP phosphodiesterase			map02025	Biofilm formation - Pseudomonas aeruginosa
K21025	fimX	multidomain signaling protein FimX			map02025	Biofilm formation - Pseudomonas aeruginosa
K21026	AAE	acetylajmaline esterase			map00901; map01110	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
K21028	ynjE	molybdopterin synthase sulfurtransferase			map04122	Sulfur relay system
K21029	moeB	molybdopterin-synthase adenylyltransferase			map04122	Sulfur relay system
K21033	virH1, CYP103	cytochrome P450 family 103				
K21034	virH2, CYP104	cytochrome P450 family 104				
K21035	fas1, CYP105E1	cytochrome P450 family 105 subfamily E polypeptide 1				
K21038	brt	reverse transcriptase				
K21039	int	enterobacteria phage integrase				
K21040	vCCL4b, U83	HHV6 CCR2 chemokine agonist			map04061	Viral protein interaction with cytokine and cytokine receptor
K21041	UL7_8	HCMV CEACAM1-like protein				
K21042	UL11	HCMV protein UL11				
K21043	UL16	HCMV immunoevasion protein				
K21044	UL40	HCMV protein UL40				
K21046	UL146	HCMV chemokine vCXCL1			map04061; map05163	Viral protein interaction with cytokine and cytokine receptor; Human cytomegalovirus infection
K21047	UL144	HCMV TNF alpha-like receptor UL144				
K21048	UL142	HCMV membrane glycoprotein UL142				
K21050	US2	HCMV unique short US2 glycoprotein			map05163	Human cytomegalovirus infection
K21051	US10	HCMV unique short US10 glycoprotein			map05163	Human cytomegalovirus infection
K21052	TMEM5	alpha-dystroglycan beta1,4-xylosyltransferase	M00872	O-glycan biosynthesis, mannose type (core M3)	map00515; map01100	Mannose type O-glycan biosynthesis; Metabolic pathways
K21053	ade	adenine deaminase			map00230; map01100	Purine metabolism; Metabolic pathways
K21054	eryB	D-erythritol 1-phosphate dehydrogenase				
K21055	E3.1.3.103	3-deoxy-D-glycero-D-galacto-nononate 9-phosphatase			map00520	Amino sugar and nucleotide sugar metabolism
K21058	bciC	chlorophyllide a hydrolase			map00860; map01110	Porphyrin and chlorophyll metabolism; Biosynthesis of secondary metabolites
K21060	lhpB	D-hydroxyproline dehydrogenase			map00330; map01100	Arginine and proline metabolism; Metabolic pathways
K21061	lhpB	D-hydroxyproline dehydrogenase subunit beta			map00330; map01100	Arginine and proline metabolism; Metabolic pathways
K21062	lhpC	1-pyrroline-4-hydroxy-2-carboxylate deaminase			map00330; map01100	Arginine and proline metabolism; Metabolic pathways
K21064	ycsE, yitU, ywtE	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740; map01100; map01110; map01240	Riboflavin metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors
K21065	E3.2.1.197	beta-1,2-mannosidase				
K21069	CYP9T2_3	ipsdienol synthase			map00902; map01110	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
K21071	pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010; map00030; map00051; map00052; map00680; map01100; map01110; map01120; map01200; map01230	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Methane metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids
K21084	yegE	diguanylate cyclase			map02026	Biofilm formation - Escherichia coli
K21087	ycgR	flagellar brake protein			map02026	Biofilm formation - Escherichia coli
K21088	ydaM	diguanylate cyclase			map02026	Biofilm formation - Escherichia coli
K21090	adrB	c-di-GMP phosphodiesterase			map02026	Biofilm formation - Escherichia coli
K21101	isoH	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase				
K21102	ANR	anthocyanidin reductase [(2S)-flavan-3-ol-forming]				
K21104	E3.1.1.101	poly(ethylene terephthalate) hydrolase			map00624; map01100; map01120	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments
K21105	E3.1.1.102	mono(ethylene terephthalate) hydrolase			map00624; map01100; map01120	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments
K21106	isoI	isoprene-epoxide---glutathione S-transferase				
K21107	jamA	medium-chain-fatty-acid---[acyl-carrier-protein] ligase				
K21115	CYP107B1	cytochrome P450 family 107 subfamily B1				
K21119	CYP130	cytochrome P450 family 130				
K21120	P450cin, CYP176A1	1,8-cineole 2-endo-monooxygenase			map00902; map01110	Monoterpenoid biosynthesis; Biosynthesis of secondary metabolites
K21130	colC	GDP-L-colitose synthase			map00541; map01100	O-Antigen nucleotide sugar biosynthesis; Metabolic pathways
K21134	triC	multidrug efflux pump				
K21136	triA	membrane fusion protein, multidrug efflux system				
K21138	HDDC3	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase			map00230; map01100	Purine metabolism; Metabolic pathways
K21140	mec	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase			map04122	Sulfur relay system
K21142	moaX	MoaE-MoaD fusion protein	M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	map00790; map01100; map01240; map04122	Folate biosynthesis; Metabolic pathways; Biosynthesis of cofactors; Sulfur relay system
K21147	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase			map04122	Sulfur relay system
K21148	cysM	[CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase			map04122	Sulfur relay system
K21149	SSL-2	botryococcus squalene synthase				
K21150	SSL-3	botryococcene synthase				
K21151	SSL-1	presqualene diphosphate synthase				
K21152	notF, brePT	brevianamide F prenyltransferase (deoxybrevianamide E-forming)				
K21153	salL	adenosyl-chloride synthase				
K21158	TOS3	serine/threonine-protein kinase TOS3			map04138	Autophagy - yeast
K21159	sgcF, ncsF2, kedF	epoxide hydrolase			map01059	Biosynthesis of enediyne antibiotics
K21161	sgcE3, ncsE3, kedE3	enediyne biosynthesis protein E3	M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21162	sgcE4, ncsE4, kedE4	enediyne biosynthesis protein E4	M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21163	sgcE5, ncsE5, kedE5	enediyne biosynthesis protein E5	M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21164	sgcE7, ncsE7, kedE7	enediyne biosynthesis protein E7	M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21168	calE1	enediyne biosynthesis protein CalE1	M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21175	sgcD1	2-amino-4-deoxychorismate synthase, glutamine amidotransferase component	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21176	sgcD5	benzoxazolinate moiety biosynthesis protein SgcD5	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21177	sgcD3	cytochrome P450 hydroxylase	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21179	sgcH	CoA-ligase	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21180	sgcD6	3-O-acyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21185	sgcE6, mdpE6, kedE6	flavin reductase	M00827; M00832	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP; Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21187	sgcA6	glycosyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21194	mdpA6	glycosyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21195	phnY	2-aminoethylphosphonate dioxygenase			map00440; map01100	Phosphonate and phosphinate metabolism; Metabolic pathways
K21196	phnZ	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)			map00440; map01100	Phosphonate and phosphinate metabolism; Metabolic pathways
K21198	NAPG, SNAPG	gamma-soluble NSF attachment protein				
K21202	2-ODD	(-)-deoxypodophyllotoxin synthase	M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21203	OMT3	(-)-pluviatolide 4-O-methyltransferase	M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21204	OMT1	5'-demethylyatein 5'-O-methyltransferase	M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21205	CYP71CU1	bursehernin 5'-monooxygenase	M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21206	CYP82D61	(-)-4'-demethyl-deoxypodophyllotoxin 4-hydroxylase				
K21207	CYP719A23_24	(-)-pluviatolide synthase	M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21208	CYP96T1	noroxomaritidine synthase			map00950; map01110	Isoquinoline alkaloid biosynthesis; Biosynthesis of secondary metabolites
K21209	ncsB4	acyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21210	ncsC	NDP-mannose synthase			map01059; map01110	Biosynthesis of enediyne antibiotics; Biosynthesis of secondary metabolites
K21212	ncsC2	NDP-hexose 2,3-dehydratase			map01059; map01110	Biosynthesis of enediyne antibiotics; Biosynthesis of secondary metabolites
K21213	ncsC3	aminotransferase			map01059; map01110	Biosynthesis of enediyne antibiotics; Biosynthesis of secondary metabolites
K21215	ncsC5	N-methyltransferase			map01059; map01110	Biosynthesis of enediyne antibiotics; Biosynthesis of secondary metabolites
K21216	ncsC6	glycosyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21217	motX	sodium-type polar flagellar protein MotX			map02040	Flagellar assembly
K21218	motY	sodium-type flagellar protein MotY			map02040	Flagellar assembly
K21219	thiDN	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase	M00127; M00896; M00899	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP; Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP; Thiamine salvage pathway, HMP/HET => TMP	map00730; map01100; map01240	Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors
K21220	thiN	thiamine-phosphate diphosphorylase	M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	map00730; map01100; map01240	Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors
K21221	kedU38	iterative type I polyketide synthase KedU38	M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	map01059; map01100	Biosynthesis of enediyne antibiotics; Metabolic pathways
K21222	kedN3	cytochrome P450 monooxygenase	M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21223	kedN1	O-methyltransferase	M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21225	kedN2	acyl-CoA synthetase	M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21226	kedN4	acyl-CoA N-acyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21227	kedY4	MIO-dependent 2-aza-L-tyrosine aminomutase	M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21228	kedY1	(R)-2-aza-beta-tyrosine adenylation enzyme	M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21229	kedS6	glycosyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21230	kedS10	glycosyltransferase			map01059	Biosynthesis of enediyne antibiotics
K21231	bciB	3,8-divinyl protochlorophyllide a 8-vinyl-reductase (ferredoxin)			map00860; map01100	Porphyrin and chlorophyll metabolism; Metabolic pathways
K21232	MOCS2A, CNXG	molybdopterin synthase sulfur carrier subunit			map04122	Sulfur relay system
K21248	VMP1	vacuole membrane protein 1			map04140	Autophagy - animal
K21249	UVRAG	UV radiation resistance-associated gene protein			map04140	Autophagy - animal
K21252	fosX	fosfomycin resistance protein FosX				
K21254	calO5	orsellinic acid synthase	M00833; M00834	Calicheamicin biosynthesis, calicheamicinone => calicheamicin; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21255	calO6	orsellinic acid C2-O-methyltransferase	M00833; M00834	Calicheamicin biosynthesis, calicheamicinone => calicheamicin; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21256	calO3	flavin-dependent halogenase	M00833; M00834	Calicheamicin biosynthesis, calicheamicinone => calicheamicin; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21257	calO2	orsellenic acid P450 oxidase	M00833; M00834	Calicheamicin biosynthesis, calicheamicinone => calicheamicin; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21258	calO1	orsellinic acid C3-O-methyltransferase	M00833; M00834	Calicheamicin biosynthesis, calicheamicinone => calicheamicin; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21259	calG3	calicheamicinone 4-hydroxyamino-4,6-dideoxy-alpha-D-glucosyltransferase	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21260	calG2	calicheamicin 4-deoxy-4-thio-alpha-D-digitoxosyltransferase	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21261	calO4	acyltransferase	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21262	calG4	calicheamicin aminopentosyltransferase	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21263	calG1	calicheamicin 3'-O-methyl-rhamnosyltransferase	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	map01059; map01100; map01110	Biosynthesis of enediyne antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites
K21270	ChuaMOX	(R)-mandelonitrile oxidase				
K21271	auaH	aurachin B dehydrogenase	M00848	Aurachin biosynthesis, anthranilate => aurachin A	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21272	auaG	aurachin C monooxygenase/isomerase	M00848	Aurachin biosynthesis, anthranilate => aurachin A	map00998; map01100; map01110	Biosynthesis of various secondary metabolites - part 2; Metabolic pathways; Biosynthesis of secondary metabolites
K21274	hexs-a	hexaprenyl-diphosphate synthase small subunit			map00900; map01110	Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
K21279	E2.5.1.132	3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase			map00520	Amino sugar and nucleotide sugar metabolism
K21280	sibG	3-hydroxy-4-methylanthranilyl-[aryl-carrier protein] 5-monooxygenase				
K21281	vlmH	isobutylamine N-monooxygenase				
K21282	ind7	N-demethylindolmycin N-methyltransferase				
K21286	NTAQ1	protein N-terminal glutamine amidohydrolase				
K21287	atdA2	gamma-glutamylanilide hydrolase				
K21291	CYP71Z7	ent-cassadiene hydroxylase			map00904; map01110	Diterpenoid biosynthesis; Biosynthesis of secondary metabolites
K21296	TENB	tenellin biosynthesis cytochrome P450 monooxygenase				
K21298	E2.4.1.333	1,2-beta-oligoglucan phosphorylase				
K21299	arsAB	nicotinate D-ribonucleotide:phenol phospho-D-ribosyltransferase				
K21300	HSS1	homospermidine synthase (spermidine-specific)				
K21301	oxyR, ctcR	5a,11a-dehydrotetracycline reductase	M00780; M00823	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline; Chlortetracycline biosynthesis, pretetramide => chlortetracycline	map00253; map01057; map01100; map01110	Tetracycline biosynthesis; Biosynthesis of type II polyketide products; Metabolic pathways; Biosynthesis of secondary metabolites
K21303	wecP	UDP-GalNAc:undecaprenyl-phosphate GalNAc-1-phosphate transferase				
K21306	aglB	dolichyl-phosphooligosaccharide-protein glycotransferase				
K21307	soeA	sulfite dehydrogenase (quinone) subunit SoeA			map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K21308	soeB	sulfite dehydrogenase (quinone) subunit SoeB			map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K21309	soeC	sulfite dehydrogenase (quinone) subunit SoeC			map00920; map01100; map01120	Sulfur metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K21310	mddA	methanethiol S-methyltransferase			map00920; map01100	Sulfur metabolism; Metabolic pathways
K21317	bmoX	butane monooxygenase alpha subunit			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21318	bmoY	butane monooxygenase beta subunit			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21319	bmoZ	butane monooxygenase gamma subunit			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21320	bmoC	butane monooxygenase reductase			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21321	bmoB	butane monooxygenase regulatory protein			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21322	bmoD	butane monooxygenase hypothetical assembly protein			map00650; map01100; map01120; map01220	Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K21323	mdpJ	tert-butyl alcohol monooxygenase / tert-amyl alcohol desaturase				
K21324	mdpK	tert-butyl alcohol monooxygenase/tert-amyl alcohol desaturase reductase				
K21326	sgcA4	aminotransferase			map00523; map01110	Polyketide sugar unit biosynthesis; Biosynthesis of secondary metabolites
K21327	sgcA5	N-methyltransferase			map00523; map01110	Polyketide sugar unit biosynthesis; Biosynthesis of secondary metabolites
